# Time-averaged data for fix temp_info
# TimeStep v_mytemp
2898000 3269.38
2901000 3693.77
2904000 3354.24
2907000 3197.36
2910000 3576.92
2913000 3536.1
2916000 3301.25
2919000 3429.27
2922000 3039.89
2925000 3337.5
2928000 3627.86
2931000 3277.12
2934000 3542.69
2937000 3453.19
2940000 3523.47
2943000 3436.9
2946000 3595.34
2949000 3229.72
2952000 3351.73
2955000 3217.89
2958000 3390.4
2961000 3384.52
2964000 3310.55
2967000 3328.36
2970000 3201.41
2973000 3267.96
2976000 3200.23
2979000 3204.37
2982000 3483.18
2985000 3657.76
2988000 3010.43
2991000 3369.13
2994000 3391.99
2997000 3213.3
3000000 3175.68
3003000 2973.07
3006000 3303.29
3009000 3278.25
3012000 3653.52
3015000 3323.26
3018000 3220.23
3021000 3380.94
3024000 3033.41
3027000 3170.02
3030000 3294.23
3033000 3386.55
3036000 3201.82
3039000 3160.9
3042000 2932.45
3045000 3175.55
3048000 3155.29
3051000 3017.73
3054000 3233.42
3057000 3144.13
3060000 3385.32
3063000 3125.21
3066000 3192.55
3069000 3332.79
3072000 3300.94
3075000 3139.28
3078000 3316.7
3081000 3179.75
3084000 3170.42
3087000 3239.99
3090000 2992.45
3093000 3147.84
3096000 2843.82
3099000 3493.8
3102000 3064.58
3105000 3368
3108000 3222.69
3111000 2945.64
3114000 3093.86
3117000 3302.35
3120000 2844.54
3123000 3180.97
3126000 3413.05
3129000 3384.78
3132000 3147.57
3135000 3062.4
3138000 3054.43
3141000 3241.16
3144000 3218.26
3147000 3099.45
3150000 3255.2
3153000 3262.93
3156000 3224.97
3159000 3002.16
3162000 3285.18
3165000 3034.85
3168000 3073.79
3171000 3050.6
3174000 3142.3
3177000 3164.87
3180000 3317.83
3183000 3300.67
3186000 3025.66
3189000 2645.26
3192000 3161.65
3195000 3183.76
3198000 3105.07
3201000 2999.9
3204000 3168.49
3207000 2726.6
3210000 3079.25
3213000 3205.52
3216000 3193.24
3219000 2938.98
3222000 2969.14
3225000 2867.38
3228000 2921.82
3231000 3110.92
3234000 3213.11
3237000 2967.89
3240000 3083.12
3243000 2832.88
3246000 3039.14
3249000 3210.64
3252000 3194.58
3255000 2979.94
3258000 3051.53
3261000 2796.01
3264000 2858.8
3267000 2868.9
3270000 3165.42
3273000 3142.29
3276000 3031.93
3279000 3302.71
3282000 3146.37
3285000 2777.91
3288000 2946.13
3291000 2983.76
3294000 3141.05
3297000 3082.03
3300000 2785.09
3303000 2811.34
3306000 3003.68
3309000 2870.41
3312000 2900.09
3315000 2936
3318000 3070.08
3321000 3244.11
3324000 3089.32
3327000 3018.35
3330000 2833.05
3333000 2805.4
3336000 2831.72
3339000 2913.85
3342000 2996.51
3345000 3122.94
3348000 3077.71
3351000 2898.32
3354000 2917.33
3357000 2874.39
3360000 2826.01
3363000 3043.5
3366000 2975.77
3369000 3113.18
3372000 3202
3375000 3203.43
3378000 2823.71
3381000 2908.61
3384000 2789.22
3387000 3148.68
3390000 2930.4
3393000 2942.44
3396000 3013.26
3399000 3166.7
3402000 2992.42
3405000 3015.2
3408000 2896.59
3411000 3082.99
3414000 3022.27
3417000 2901.53
3420000 3066.1
3423000 3173.57
3426000 2967.5
3429000 2916.5
3432000 3111.35
3435000 3167.93
3438000 3054.99
3441000 2951.02
3444000 3005.13
3447000 3025.99
3450000 2883.24
3453000 3174.98
3456000 2864.54
3459000 2997.9
3462000 3048.62
3465000 2984.61
3468000 2696.08
3471000 3131.55
3474000 2877.46
3477000 2947.16
3480000 3187.29
3483000 2722.64
3486000 3086.88
3489000 3191.57
3492000 3037.44
3495000 2891.95
3498000 2959.31
3501000 2922.88
3504000 2761.64
3507000 3082.66
3510000 3092.35
3513000 2890.36
3516000 3039.37
3519000 3087.53
3522000 3185.64
3525000 2782.29
3528000 3057.09
3531000 2890.06
3534000 3212.29
3537000 3147.96
3540000 2832.99
3543000 2958.91
3546000 3003.61
3549000 2898.28
3552000 2629.34
3555000 3165.84
3558000 3218.2
3561000 3149.1
3564000 2970.53
3567000 2914.71
3570000 2746.29
3573000 3028.01
3576000 2823.97
3579000 3259.91
3582000 2961.59
3585000 2901.93
3588000 2967.25
3591000 2877.78
3594000 2954.71
3597000 2889.93
3600000 2988.76
3603000 2985.9
3606000 3014.91
3609000 3169.12
3612000 2846.27
3615000 3048.16
3618000 3053.34
3621000 2916.64
3624000 3235.58
3627000 3356.01
3630000 2993.54
3633000 2894.58
3636000 2864.21
